Data;"Dług zagraniczny skarbu państwa, ogółem"
2001-01-01;118950,0784
2001-02-01;120569,1155
2001-03-01;118241,4949
2001-04-01;113284,1748
2001-05-01;112158,3226
2001-06-01;111248,742
2001-07-01;119439,2988
2001-08-01;122035,4675
2001-09-01;121443,904
2001-10-01;116059,9778
2001-11-01;101050,7056
2001-12-01;98909,07218
2002-01-01;102233,9492
2002-02-01;103403,938
2002-03-01;104425,6461
2002-04-01;101501,8663
2002-05-01;105129,0321
2002-06-01;108959,5315
2002-07-01;115741,4038
2002-08-01;115377,6053
2002-09-01;114761,7367
2002-10-01;110001,0896
2002-11-01;109777,73
2002-12-01;108557,1311
2003-01-01;110040,638
2003-02-01;117760,7088
2003-03-01;120020,9097
2003-04-01;115284,3206
2003-05-01;119614,4976
2003-06-01;118841,4944
2003-07-01;118010,8197
2003-08-01;118947,8087
2003-09-01;123256,7681
2003-10-01;127111,3982
2003-11-01;127031,7096
2003-12-01;127905,1952
2004-01-01;137283,846
2004-02-01;139899,6536
2004-03-01;138757,1419
2004-04-01;141192,3553
2004-05-01;135551,3049
2004-06-01;134408,8418
2004-07-01;128683,1279
2004-08-01;131128,729
2004-09-01;124922,6822
2004-10-01;121545,9936
2004-11-01;117007,0788
2004-12-01;111202,8078
2005-01-01;124137,729
2005-02-01;121299,7955
2005-03-01;113226,9371
2005-04-01;125150,7504
2005-05-01;125186,5113
2005-06-01;125639,2136
2005-07-01;128595,1094
2005-08-01;127642,5427
2005-09-01;121288,3609
2005-10-01;126962,6614
2005-11-01;126032,4349
2005-12-01;124688,8188
2006-01-01;122991,2683
2006-02-01;133138,3766
2006-03-01;135035,7828
2006-04-01;133148,4351
2006-05-01;134917,9986
2006-06-01;138378,5411
2006-07-01;134534,244
2006-08-01;134669,2801
2006-09-01;133752,3145
2006-10-01;126622,7199
2006-11-01;125358,1757
2006-12-01;126215,1397
2007-01-01;135637,3668
2007-02-01;134909,5698
2007-03-01;132192,4703
2007-04-01;127114,8761
2007-05-01;131641,1328
2007-06-01;129687,2074
2007-07-01;130382,3706
2007-08-01;132018,649
2007-09-01;129438,9228
2007-10-01;121594,4899
2007-11-01;122839,3285
2007-12-01;121139,47
2008-01-01;123131,0397
2008-02-01;119297,3227
2008-03-01;117335,7665
2008-04-01;116091,6703
2008-05-01;113045,1195
2008-06-01;119086,0894
2008-07-01;113554,6666
2008-08-01;119807,8479
2008-09-01;120266,691
2008-10-01;132720,5916
2008-11-01;136301,6472
2008-12-01;149925,8715
2009-01-01;160395,7284
2009-02-01;172088,7081
2009-03-01;166814,9614
2009-04-01;155656,3184
2009-05-01;160155,9042
2009-06-01;159029,9565
2009-07-01;158056,436
2009-08-01;161913,2916
2009-09-01;168133,3732
2009-10-01;172156,8008
2009-11-01;169410,0395
2009-12-01;168772,9164
2010-01-01;180652,2527
2010-02-01;177884,0918
2010-03-01;176512,0344
2010-04-01;178555,7977
2010-05-01;188863,6226
2010-06-01;193925,2583
2010-07-01;192538,1372
2010-08-01;195035,1184
2010-09-01;194627,1049
2010-10-01;194342,9916
2010-11-01;201826,8392
2010-12-01;194839,9824
2011-01-01;196721,3932
2011-02-01;199441,6456
2011-03-01;199490,4567
2011-04-01;196912,9603
2011-05-01;199654,9329
2011-06-01;205516,8465
2011-07-01;213159,5087
2011-08-01;219302,8202
2011-09-01;235658,9616
2011-10-01;231929,7169
2011-11-01;252104,1919
2011-12-01;246437,9616
2012-01-01;239547,6615
2012-02-01;237584,9585
2012-03-01;235895,0228
2012-04-01;238057,2641
2012-05-01;256129,5744
2012-06-01;250833,3346
2012-07-01;239082,9943
2012-08-01;245160,0719
2012-09-01;245462,2003
2012-10-01;252324,1179
2012-11-01;254503,2741
2012-12-01;250883,7581
2013-01-01;261140,5442
2013-02-01;250882,8822
2013-03-01;253021,8611
2013-04-01;248077,331
2013-05-01;256213,8779
2013-06-01;258631,6239
2013-07-01;257078,9379
2013-08-01;258534,8617
2013-09-01;258002,6899
2013-10-01;255594,9359
2013-11-01;258004,5222
2013-12-01;253752,3271
2014-01-01;274746,4471
2014-02-01;264743,9005
2014-03-01;261956,4914
2014-04-01;263304,7369
2014-05-01;260362,2041
2014-06-01;261381,2535
2014-07-01;262390,4553
2014-08-01;266401,851
2014-09-01;266547,4775
2014-10-01;268553,1029
2014-11-01;268838,0354
2014-12-01;276859,3673
2015-01-01;280460,092
2015-02-01;276530,0378
2015-03-01;273967,6504
2015-04-01;271585,7762
2015-05-01;275394,5102
2015-06-01;278543,1143
2015-07-01;271683,3777
2015-08-01;274170,8502
2015-09-01;282211,0732
2015-10-01;291848,5151
2015-11-01;292417,2207
2015-12-01;291288,4208
2016-01-01;310750,9182
2016-02-01;294810,314
2016-03-01;283851,4027
2016-04-01;303664,6965
2016-05-01;302409,1084
2016-06-01;306739,4977
2016-07-01;302506,4374
2016-08-01;302997,6971
2016-09-01;300077,4326
2016-10-01;307411,007
2016-11-01;317151,7839
2016-12-01;319463,2404
2017-01-01;312148,3255
2017-02-01;312074,4549
2017-03-01;301943,837
2017-04-01;299331,3841
2017-05-01;293372,6462
2017-06-01;295478,0112
2017-07-01;294720,7489
2017-08-01;294272,4874
2017-09-01;297544,1688
2017-10-01;294073,672
2017-11-01;288942,2442
2017-12-01;283939,9026
2018-01-01;285252,4862
2018-02-01;292634,69
2018-03-01;294090,9688
2018-04-01;295287,4887
2018-05-01;300709,4353
2018-06-01;293613,3623
2018-07-01;285790,1552
2018-08-01;287419,3725
2018-09-01;283248,1484
2018-10-01;288294,6337
2018-11-01;281944,9472
2018-12-01;279847,2349
2019-01-01;271566,5687
2019-02-01;273900,5856
2019-03-01;282754,2812
2019-04-01;281719,949
2019-05-01;277812,8141
2019-06-01;273781,8434
2019-07-01;268977,0625
2019-08-01;271387,6039
2019-09-01;270847,4428
2019-10-01;259568,5886
